"county","hrr","cntyname","hrrname","pop10","afact"
"County code","Hospital referral regions (2016)","County name","Hospital referral regions 2016","Total population (2010)","county to hrr allocation factor"
"01001","001","Autauga AL","AL- BIRMINGHAM",2902,0.053 
"01001","007","Autauga AL","AL- MONTGOMERY",51669,0.947 
"01003","006","Baldwin AL","AL- MOBILE",175054,0.96 
"01003","134","Baldwin AL","FL- PENSACOLA",7211,0.04 
"01005","002","Barbour AL","AL- DOTHAN",27457,1 
"01007","001","Bibb AL","AL- BIRMINGHAM",11111,0.485 
"01007","009","Bibb AL","AL- TUSCALOOSA",11804,0.515 
"01009","001","Blount AL","AL- BIRMINGHAM",57322,1 
"01011","007","Bullock AL","AL- MONTGOMERY",10914,1 
"01013","007","Butler AL","AL- MONTGOMERY",20947,1 
"01015","001","Calhoun AL","AL- BIRMINGHAM",118572,1 
"01017","001","Chambers AL","AL- BIRMINGHAM",31678,0.926 
"01017","144","Chambers AL","GA- ATLANTA",2537,0.074 
"01019","001","Cherokee AL","AL- BIRMINGHAM",169,0.007 
"01019","148","Cherokee AL","GA- ROME",25820,0.993 
"01021","001","Chilton AL","AL- BIRMINGHAM",38545,0.883 
"01021","007","Chilton AL","AL- MONTGOMERY",5098,0.117 
"01023","260","Choctaw AL","MS- MERIDIAN",13859,1 
"01025","006","Clarke AL","AL- MOBILE",25833,1 
"01027","001","Clay AL","AL- BIRMINGHAM",13932,1 
"01029","001","Cleburne AL","AL- BIRMINGHAM",9954,0.665 
"01029","144","Cleburne AL","GA- ATLANTA",4667,0.312 
"01029","148","Cleburne AL","GA- ROME",351,0.023 
"01031","002","Coffee AL","AL- DOTHAN",49948,1 
"01033","001","Colbert AL","AL- BIRMINGHAM",54428,1 
"01035","006","Conecuh AL","AL- MOBILE",1848,0.14 
"01035","007","Conecuh AL","AL- MONTGOMERY",8127,0.614 
"01035","134","Conecuh AL","FL- PENSACOLA",3253,0.246 
"01037","001","Coosa AL","AL- BIRMINGHAM",10030,0.869 
"01037","007","Coosa AL","AL- MONTGOMERY",1509,0.131 
"01039","002","Covington AL","AL- DOTHAN",9607,0.254 
"01039","134","Covington AL","FL- PENSACOLA",28158,0.746 
"01041","007","Crenshaw AL","AL- MONTGOMERY",13286,0.955 
"01041","134","Crenshaw AL","FL- PENSACOLA",620,0.045 
"01043","001","Cullman AL","AL- BIRMINGHAM",77622,0.965 
"01043","005","Cullman AL","AL- HUNTSVILLE",2784,0.035 
"01045","002","Dale AL","AL- DOTHAN",50251,1 
"01047","001","Dallas AL","AL- BIRMINGHAM",43820,1 
"01049","001","DeKalb AL","AL- BIRMINGHAM",65172,0.917 
"01049","373","DeKalb AL","TN- CHATTANOOGA",5937,0.083 
"01051","001","Elmore AL","AL- BIRMINGHAM",265,0.003 
"01051","007","Elmore AL","AL- MONTGOMERY",79038,0.997 
"01053","134","Escambia AL","FL- PENSACOLA",38319,1 
"01055","001","Etowah AL","AL- BIRMINGHAM",104430,1 
"01057","001","Fayette AL","AL- BIRMINGHAM",2239,0.13 
"01057","009","Fayette AL","AL- TUSCALOOSA",15002,0.87 
"01059","001","Franklin AL","AL- BIRMINGHAM",31028,0.979 
"01059","262","Franklin AL","MS- TUPELO",676,0.021 
"01061","002","Geneva AL","AL- DOTHAN",26790,1 
"01063","001","Greene AL","AL- BIRMINGHAM",1955,0.216 
"01063","009","Greene AL","AL- TUSCALOOSA",7090,0.784 
"01065","001","Hale AL","AL- BIRMINGHAM",629,0.04 
"01065","009","Hale AL","AL- TUSCALOOSA",15131,0.96 
"01067","002","Henry AL","AL- DOTHAN",17302,1 
"01069","002","Houston AL","AL- DOTHAN",101547,1 
"01071","005","Jackson AL","AL- HUNTSVILLE",37713,0.709 
"01071","373","Jackson AL","TN- CHATTANOOGA",15514,0.291 
"01073","001","Jefferson AL","AL- BIRMINGHAM",658466,1 
"01075","001","Lamar AL","AL- BIRMINGHAM",808,0.055 
"01075","009","Lamar AL","AL- TUSCALOOSA",11605,0.797 
"01075","262","Lamar AL","MS- TUPELO",2151,0.148 
"01077","001","Lauderdale AL","AL- BIRMINGHAM",92709,1 
"01079","001","Lawrence AL","AL- BIRMINGHAM",30311,0.883 
"01079","005","Lawrence AL","AL- HUNTSVILLE",4028,0.117 
"01081","001","Lee AL","AL- BIRMINGHAM",108577,0.774 
"01081","146","Lee AL","GA- COLUMBUS",31670,0.226 
"01083","005","Limestone AL","AL- HUNTSVILLE",82782,1 
"01085","001","Lowndes AL","AL- BIRMINGHAM",972,0.086 
"01085","007","Lowndes AL","AL- MONTGOMERY",10327,0.914 
"01087","001","Macon AL","AL- BIRMINGHAM",17674,0.824 
"01087","007","Macon AL","AL- MONTGOMERY",3778,0.176 
"01089","005","Madison AL","AL- HUNTSVILLE",334811,1 
"01091","001","Marengo AL","AL- BIRMINGHAM",16529,0.786 
"01091","006","Marengo AL","AL- MOBILE",4498,0.214 
"01093","001","Marion AL","AL- BIRMINGHAM",18943,0.616 
"01093","262","Marion AL","MS- TUPELO",11833,0.384 
"01095","001","Marshall AL","AL- BIRMINGHAM",47686,0.513 
"01095","005","Marshall AL","AL- HUNTSVILLE",45333,0.487 
"01097","006","Mobile AL","AL- MOBILE",412992,1 
"01099","001","Monroe AL","AL- BIRMINGHAM",18,0.001 
"01099","006","Monroe AL","AL- MOBILE",23050,0.999 
"01101","007","Montgomery AL","AL- MONTGOMERY",229363,1 
"01103","001","Morgan AL","AL- BIRMINGHAM",39156,0.328 
"01103","005","Morgan AL","AL- HUNTSVILLE",80334,0.672 
"01105","001","Perry AL","AL- BIRMINGHAM",10456,0.987 
"01105","009","Perry AL","AL- TUSCALOOSA",135,0.013 
"01107","009","Pickens AL","AL- TUSCALOOSA",18700,0.947 
"01107","262","Pickens AL","MS- TUPELO",1046,0.053 
"01109","007","Pike AL","AL- MONTGOMERY",32899,1 
"01111","001","Randolph AL","AL- BIRMINGHAM",22596,0.986 
"01111","144","Randolph AL","GA- ATLANTA",317,0.014 
"01113","146","Russell AL","GA- COLUMBUS",52947,1 
"01115","001","St. Clair AL","AL- BIRMINGHAM",83593,1 
"01117","001","Shelby AL","AL- BIRMINGHAM",195085,1 
"01119","009","Sumter AL","AL- TUSCALOOSA",2087,0.152 
"01119","260","Sumter AL","MS- MERIDIAN",11676,0.848 
"01121","001","Talladega AL","AL- BIRMINGHAM",82291,1 
"01123","001","Tallapoosa AL","AL- BIRMINGHAM",35450,0.852 
"01123","007","Tallapoosa AL","AL- MONTGOMERY",6166,0.148 
"01125","001","Tuscaloosa AL","AL- BIRMINGHAM",10024,0.051 
"01125","009","Tuscaloosa AL","AL- TUSCALOOSA",184632,0.949 
"01127","001","Walker AL","AL- BIRMINGHAM",67023,1 
"01129","006","Washington AL","AL- MOBILE",17581,1 
"01131","001","Wilcox AL","AL- BIRMINGHAM",7881,0.675 
"01131","006","Wilcox AL","AL- MOBILE",3789,0.325 
"01133","001","Winston AL","AL- BIRMINGHAM",24484,1 
"02013","010","Aleutians East Borough AK","AK- ANCHORAGE",3141,1 
"02016","010","Aleutians West Census Area AK","AK- ANCHORAGE",5561,1 
"02020","010","Anchorage Borough AK","AK- ANCHORAGE",291826,1 
"02050","010","Bethel Census Area AK","AK- ANCHORAGE",17013,1 
"02060","010","Bristol Bay Borough AK","AK- ANCHORAGE",997,1 
"02068","010","Denali Borough AK","AK- ANCHORAGE",1826,1 
"02070","010","Dillingham Census Area AK","AK- ANCHORAGE",4847,1 
