"county","hrr19","CountyName","HRRName","pop20","afact"
"County code","Hospital referral regions (2019)","County name","Hospital referral regions 2019","Total population (2020 Census)","county-to-hrr19 allocation factor"
"01001","1","Autauga AL","1",2816,0.0479 
"01001","7","Autauga AL","7",55989,0.9521 
"01003"," ","Baldwin AL"," ",90,0.0004 
"01003","134","Baldwin AL","134",10532,0.0454 
"01003","6","Baldwin AL","6",221145,0.9542 
"01005","146","Barbour AL","146",72,0.0029 
"01005","2","Barbour AL","2",24912,0.9877 
"01005","7","Barbour AL","7",239,0.0095 
"01007","1","Bibb AL","1",10860,0.4871 
"01007","9","Bibb AL","9",11433,0.5129 
"01009","1","Blount AL","1",58817,0.9946 
"01009","5","Blount AL","5",317,0.0054 
"01011","2","Bullock AL","2",163,0.0157 
"01011","7","Bullock AL","7",10194,0.9843 
"01013","1","Butler AL","1",91,0.0048 
"01013","134","Butler AL","134",9,0.0005 
"01013","7","Butler AL","7",18951,0.9948 
"01015","1","Calhoun AL","1",116284,0.9987 
"01015","148","Calhoun AL","148",157,0.0013 
"01017","1","Chambers AL","1",32524,0.9353 
"01017","144","Chambers AL","144",2248,0.0646 
"01019","1","Cherokee AL","1",1161,0.0465 
"01019","148","Cherokee AL","148",23810,0.9535 
"01021","1","Chilton AL","1",39761,0.8833 
"01021","7","Chilton AL","7",5219,0.1159 
"01021","9","Chilton AL","9",34,0.0008 
"01023","1","Choctaw AL","1",41,0.0032 
"01023","258","Choctaw AL","258",152,0.012 
"01023","260","Choctaw AL","260",12414,0.9802 
"01023","6","Choctaw AL","6",58,0.0046 
"01025","260","Clarke AL","260",12,0.0005 
"01025","6","Clarke AL","6",23075,0.9995 
"01027","1","Clay AL","1",14236,1 
"01029","1","Cleburne AL","1",10003,0.6644 
"01029","144","Cleburne AL","144",4554,0.3025 
"01029","148","Cleburne AL","148",499,0.0331 
"01031","2","Coffee AL","2",53001,0.9913 
"01031","7","Coffee AL","7",464,0.0087 
"01033","1","Colbert AL","1",57224,0.9999 
"01033","262","Colbert AL","262",3,0.0001 
"01035","134","Conecuh AL","134",3194,0.2754 
"01035","6","Conecuh AL","6",1508,0.13 
"01035","7","Conecuh AL","7",6895,0.5946 
"01037","1","Coosa AL","1",9227,0.8883 
"01037","7","Coosa AL","7",1160,0.1117 
"01039","134","Covington AL","134",27605,0.7348 
"01039","2","Covington AL","2",9711,0.2585 
"01039","7","Covington AL","7",254,0.0068 
"01041","134","Crenshaw AL","134",567,0.043 
"01041","2","Crenshaw AL","2",82,0.0062 
"01041","7","Crenshaw AL","7",12545,0.9508 
"01043","1","Cullman AL","1",85124,0.9688 
"01043","5","Cullman AL","5",2742,0.0312 
"01045","2","Dale AL","2",49295,0.9994 
"01045","7","Dale AL","7",31,0.0006 
"01047","1","Dallas AL","1",38305,0.9959 
"01047","7","Dallas AL","7",157,0.0041 
