"","date","county","state","fips","cases","deaths"
"1",2022-05-13,"Autauga","AL","01001",15863,216
"2",2022-05-13,"Baldwin","AL","01003",55862,681
"3",2022-05-13,"Barbour","AL","01005",5681,98
"4",2022-05-13,"Bibb","AL","01007",6457,105
"5",2022-05-13,"Blount","AL","01009",15005,243
"6",2022-05-13,"Bullock","AL","01011",2319,54
"7",2022-05-13,"Butler","AL","01013",5068,129
"8",2022-05-13,"Calhoun","AL","01015",32453,627
"9",2022-05-13,"Chambers","AL","01017",8508,162
"10",2022-05-13,"Cherokee","AL","01019",5131,86
"11",2022-05-13,"Chilton","AL","01021",11131,207
"12",2022-05-13,"Choctaw","AL","01023",2051,36
"13",2022-05-13,"Clarke","AL","01025",7154,101
"14",2022-05-13,"Clay","AL","01027",4099,82
"15",2022-05-13,"Cleburne","AL","01029",3566,69
"16",2022-05-13,"Coffee","AL","01031",13643,231
"17",2022-05-13,"Colbert","AL","01033",16356,261
"18",2022-05-13,"Conecuh","AL","01035",2869,70
"19",2022-05-13,"Coosa","AL","01037",2977,58
"20",2022-05-13,"Covington","AL","01039",9355,232
"21",2022-05-13,"Crenshaw","AL","01041",3834,100
"22",2022-05-13,"Cullman","AL","01043",24649,367
"23",2022-05-13,"Dale","AL","01045",12947,231
"24",2022-05-13,"Dallas","AL","01047",8429,244
"25",2022-05-13,"DeKalb","AL","01049",18799,330
"26",2022-05-13,"Elmore","AL","01051",23420,347
"27",2022-05-13,"Escambia","AL","01053",10081,171
"28",2022-05-13,"Etowah","AL","01055",28779,651
"29",2022-05-13,"Fayette","AL","01057",4986,96
"30",2022-05-13,"Franklin","AL","01059",9903,139
"31",2022-05-13,"Geneva","AL","01061",6494,164
"32",2022-05-13,"Greene","AL","01063",1877,49
"33",2022-05-13,"Hale","AL","01065",4741,106
"34",2022-05-13,"Henry","AL","01067",4584,76
"35",2022-05-13,"Houston","AL","01069",25800,506
"36",2022-05-13,"Jackson","AL","01071",15049,241
"37",2022-05-13,"Jefferson","AL","01073",185930,2373
"38",2022-05-13,"Lamar","AL","01075",3745,65
"39",2022-05-13,"Lauderdale","AL","01077",24193,397
"40",2022-05-13,"Lawrence","AL","01079",7682,160
"41",2022-05-13,"Lee","AL","01081",37888,341
"42",2022-05-13,"Limestone","AL","01083",25065,293
"43",2022-05-13,"Lowndes","AL","01085",2628,77
"44",2022-05-13,"Macon","AL","01087",3885,85
"45",2022-05-13,"Madison","AL","01089",90395,968
"46",2022-05-13,"Marengo","AL","01091",5196,108
"47",2022-05-13,"Marion","AL","01093",8157,152
"48",2022-05-13,"Marshall","AL","01095",27438,394
"49",2022-05-13,"Mobile","AL","01097",113300,1653
"50",2022-05-13,"Monroe","AL","01099",5276,80
"51",2022-05-13,"Montgomery","AL","01101",55316,948
"52",2022-05-13,"Morgan","AL","01103",36167,518
"53",2022-05-13,"Perry","AL","01105",2096,47
"54",2022-05-13,"Pickens","AL","01107",5271,102
"55",2022-05-13,"Pike","AL","01109",7590,134
"56",2022-05-13,"Randolph","AL","01111",5085,75
"57",2022-05-13,"Russell","AL","01113",10112,93
"58",2022-05-13,"Shelby","AL","01117",61273,452
"59",2022-05-13,"St. Clair","AL","01115",25395,416
"60",2022-05-13,"Sumter","AL","01119",2594,51
"61",2022-05-13,"Talladega","AL","01121",22396,377
"62",2022-05-13,"Tallapoosa","AL","01123",11445,234
"63",2022-05-13,"Tuscaloosa","AL","01125",56301,786
"64",2022-05-13,"Walker","AL","01127",18767,447
"65",2022-05-13,"Washington","AL","01129",3736,59
"66",2022-05-13,"Wilcox","AL","01131",2892,46
"67",2022-05-13,"Winston","AL","01133",7576,131
"68",2022-05-13,"Aleutians East Borough","AK","02013",1101,3
"69",2022-05-13,"Aleutians West Census Area","AK","02016",1685,1
"70",2022-05-13,"Anchorage","AK","02020",105418,526
"71",2022-05-13,"Bethel Census Area","AK","02050",10362,41
"72",2022-05-13,"Bristol Bay plus Lake and Peninsula","AK","02997",870,1
"73",2022-05-13,"Denali Borough","AK","02068",424,1
"74",2022-05-13,"Dillingham Census Area","AK","02070",1932,11
"75",2022-05-13,"Fairbanks North Star Borough","AK","02090",27763,142
"76",2022-05-13,"Haines Borough","AK","02100",624,1
"77",2022-05-13,"Juneau City and Borough","AK","02110",8798,19
"78",2022-05-13,"Kenai Peninsula Borough","AK","02122",18091,101
"79",2022-05-13,"Ketchikan Gateway Borough","AK","02130",4154,17
"80",2022-05-13,"Kodiak Island Borough","AK","02150",4992,12
"81",2022-05-13,"Kusilvak Census Area","AK","02158",4084,14
"82",2022-05-13,"Matanuska-Susitna Borough","AK","02170",34981,236
"83",2022-05-13,"Nome Census Area","AK","02180",6245,5
"84",2022-05-13,"North Slope Borough","AK","02185",4468,11
"85",2022-05-13,"Northwest Arctic Borough","AK","02188",4837,13
"86",2022-05-13,"Petersburg Borough","AK","02195",785,4
"87",2022-05-13,"Prince of Wales-Hyder Census Area","AK","02198",1454,8
"88",2022-05-13,"Sitka City and Borough","AK","02220",2681,5
"89",2022-05-13,"Skagway Municipality","AK","02230",187,0
"90",2022-05-13,"Southeast Fairbanks Census Area","AK","02240",2052,20
"91",2022-05-13,"Unknown","AK",NA,958,1
"92",2022-05-13,"Valdez-Cordova Census Area","AK","02261",2948,19
"93",2022-05-13,"Wrangell City and Borough","AK","02275",579,1
"94",2022-05-13,"Yakutat plus Hoonah-Angoon","AK","02998",556,5
"95",2022-05-13,"Yukon-Koyukuk Census Area","AK","02290",1438,10
"96",2022-05-13,"Unknown",NA,NA,5930,30
"97",2022-05-13,"Apache","AZ","04001",22540,614
"98",2022-05-13,"Cochise","AZ","04003",31614,573
"99",2022-05-13,"Coconino","AZ","04005",44091,478
"100",2022-05-13,"Gila","AZ","04007",17398,381
"101",2022-05-13,"Graham","AZ","04009",12051,177
"102",2022-05-13,"Greenlee","AZ","04011",2226,33
"103",2022-05-13,"La Paz","AZ","04012",5227,144
"104",2022-05-13,"Maricopa","AZ","04013",1283590,17326
"105",2022-05-13,"Mohave","AZ","04015",57631,1454
"106",2022-05-13,"Navajo","AZ","04017",38394,909
"107",2022-05-13,"Pima","AZ","04019",255688,3850
"108",2022-05-13,"Pinal","AZ","04021",132748,1666
"109",2022-05-13,"Santa Cruz","AZ","04023",16683,232
"110",2022-05-13,"Yavapai","AZ","04025",48293,1212
"111",2022-05-13,"Yuma","AZ","04027",62751,1181
"112",2022-05-13,"Arkansas","AR","05001",5696,79
"113",2022-05-13,"Ashley","AR","05003",5115,66
"114",2022-05-13,"Baxter","AR","05005",8848,247
"115",2022-05-13,"Benton","AR","05007",67110,849
"116",2022-05-13,"Boone","AR","05009",9468,179
"117",2022-05-13,"Bradley","AR","05011",2997,49
"118",2022-05-13,"Calhoun","AR","05013",965,10
"119",2022-05-13,"Carroll","AR","05015",6138,102
"120",2022-05-13,"Chicot","AR","05017",2778,60
"121",2022-05-13,"Clark","AR","05019",5379,79
"122",2022-05-13,"Clay","AR","05021",4154,93
"123",2022-05-13,"Cleburne","AR","05023",6466,128
"124",2022-05-13,"Cleveland","AR","05025",2269,36
"125",2022-05-13,"Columbia","AR","05027",5438,95
"126",2022-05-13,"Conway","AR","05029",5491,65
"127",2022-05-13,"Craighead","AR","05031",37767,329
"128",2022-05-13,"Crawford","AR","05033",15884,249
"129",2022-05-13,"Crittenden","AR","05035",14315,226
"130",2022-05-13,"Cross","AR","05037",4835,83
"131",2022-05-13,"Dallas","AR","05039",1747,31
"132",2022-05-13,"Desha","AR","05041",3030,41
"133",2022-05-13,"Drew","AR","05043",4686,70
"134",2022-05-13,"Faulkner","AR","05045",35251,316
"135",2022-05-13,"Franklin","AR","05047",3818,73
"136",2022-05-13,"Fulton","AR","05049",2696,90
"137",2022-05-13,"Garland","AR","05051",23359,510
"138",2022-05-13,"Grant","AR","05053",4468,61
"139",2022-05-13,"Greene","AR","05055",16088,173
"140",2022-05-13,"Hempstead","AR","05057",4571,68
"141",2022-05-13,"Hot Spring","AR","05059",11237,136
"142",2022-05-13,"Howard","AR","05061",3763,50
"143",2022-05-13,"Independence","AR","05063",10639,212
"144",2022-05-13,"Izard","AR","05065",3906,70
"145",2022-05-13,"Jackson","AR","05067",6135,63
"146",2022-05-13,"Jefferson","AR","05069",18608,277
"147",2022-05-13,"Johnson","AR","05071",6830,87
"148",2022-05-13,"Lafayette","AR","05073",1298,31
"149",2022-05-13,"Lawrence","AR","05075",5324,78
"150",2022-05-13,"Lee","AR","05077",2912,59
"151",2022-05-13,"Lincoln","AR","05079",4920,68
"152",2022-05-13,"Little River","AR","05081",3281,104
"153",2022-05-13,"Logan","AR","05083",5130,80
"154",2022-05-13,"Lonoke","AR","05085",19951,243
"155",2022-05-13,"Madison","AR","05087",3975,61
"156",2022-05-13,"Marion","AR","05089",3409,88
"157",2022-05-13,"Miller","AR","05091",9596,181
"158",2022-05-13,"Mississippi","AR","05093",13608,210
"159",2022-05-13,"Monroe","AR","05095",1936,35
"160",2022-05-13,"Montgomery","AR","05097",1525,57
"161",2022-05-13,"Nevada","AR","05099",2188,46
"162",2022-05-13,"Newton","AR","05101",1719,47
"163",2022-05-13,"Ouachita","AR","05103",5484,104
"164",2022-05-13,"Perry","AR","05105",2523,37
"165",2022-05-13,"Phillips","AR","05107",4829,99
"166",2022-05-13,"Pike","AR","05109",2617,44
"167",2022-05-13,"Poinsett","AR","05111",8052,127
"168",2022-05-13,"Polk","AR","05113",4146,149
"169",2022-05-13,"Pope","AR","05115",18455,210
"170",2022-05-13,"Prairie","AR","05117",1965,43
"171",2022-05-13,"Pulaski","AR","05119",103939,1186
"172",2022-05-13,"Randolph","AR","05121",5217,89
"173",2022-05-13,"Saline","AR","05125",31019,339
"174",2022-05-13,"Scott","AR","05127",2299,43
"175",2022-05-13,"Searcy","AR","05129",2126,48
"176",2022-05-13,"Sebastian","AR","05131",32837,526
"177",2022-05-13,"Sevier","AR","05133",5943,75
"178",2022-05-13,"Sharp","AR","05135",4640,105
"179",2022-05-13,"St. Francis","AR","05123",7170,96
"180",2022-05-13,"Stone","AR","05137",2918,68
"181",2022-05-13,"Union","AR","05139",9268,176
"182",2022-05-13,"Unknown","AR",NA,27002,0
"183",2022-05-13,"Van Buren","AR","05141",3489,62
"184",2022-05-13,"Washington","AR","05143",68841,620
"185",2022-05-13,"White","AR","05145",22164,292
"186",2022-05-13,"Woodruff","AR","05147",1732,31
"187",2022-05-13,"Yell","AR","05149",6859,106
"188",2022-05-13,"Alameda","CA","06001",284054,1868
"189",2022-05-13,"Alpine","CA","06003",126,0
"190",2022-05-13,"Amador","CA","06005",9242,86
"191",2022-05-13,"Butte","CA","06007",40181,424
"192",2022-05-13,"Calaveras","CA","06009",7754,120
"193",2022-05-13,"Colusa","CA","06011",4549,21
"194",2022-05-13,"Contra Costa","CA","06013",209958,1301
"195",2022-05-13,"Del Norte","CA","06015",6381,50
"196",2022-05-13,"El Dorado","CA","06017",30508,212
"197",2022-05-13,"Fresno","CA","06019",257611,2757
"198",2022-05-13,"Glenn","CA","06021",6631,67
"199",2022-05-13,"Humboldt","CA","06023",20952,146
"200",2022-05-13,"Imperial","CA","06025",66715,916
"201",2022-05-13,"Inyo","CA","06027",4636,56
"202",2022-05-13,"Kern","CA","06029",244681,2427
"203",2022-05-13,"Kings","CA","06031",55429,447
"204",2022-05-13,"Lake","CA","06033",11699,137
"205",2022-05-13,"Lassen","CA","06035",10751,69
"206",2022-05-13,"Los Angeles","CA","06037",2908425,32022
"207",2022-05-13,"Madera","CA","06039",43685,365
"208",2022-05-13,"Marin","CA","06041",38685,293
"209",2022-05-13,"Mariposa","CA","06043",3145,35
"210",2022-05-13,"Mendocino","CA","06045",16568,124
"211",2022-05-13,"Merced","CA","06047",72959,823
"212",2022-05-13,"Modoc","CA","06049",1000,8
"213",2022-05-13,"Mono","CA","06051",3144,6
"214",2022-05-13,"Monterey","CA","06053",95140,744
"215",2022-05-13,"Napa","CA","06055",27765,143
"216",2022-05-13,"Nevada","CA","06057",17503,127
"217",2022-05-13,"Orange","CA","06059",600384,7023
"218",2022-05-13,"Placer","CA","06061",71527,628
"219",2022-05-13,"Plumas","CA","06063",3379,13
"220",2022-05-13,"Riverside","CA","06065",626695,6527
"221",2022-05-13,"Sacramento","CA","06067",314407,3159
